Month,ID
June 2021,spotify:playlist:5KGUSMWkfWedc067zW7BYM
July 2021,spotify:playlist:0GBusUIZKRJGVwqwmJ2mV5
August 2021,spotify:playlist:0C2ib2H7nnMq34I1RFUueG
September 2021,spotify:playlist:55tbh2ZJPEi5hGTgMbtyBD
October 2021,spotify:playlist:0hAEBFUuMp0BrnLBpeGRt3
November 2021,spotify:playlist:6mKSul7nLq9544yPp8jbtg
December 2021,spotify:playlist:1fm8wBM4rJ1ypnEwzgsw9g
January 2022,spotify:playlist:2fUDCQnMAf0JJFWlEDTWTp
February 2022,spotify:playlist:0mhcOXJPwUGVXorTMLv8k1
March 2022,spotify:playlist:7uqSwHxavgeGI6mY4zp1lE
April 2022,spotify:playlist:6KJyl0EyXsvndZL6Jm03pA
May 2022,spotify:playlist:5w7FKp1Z8rpGwklPeIhllR
June 2022,spotify:playlist:0Ale0zHLKQ9rCvVGfjceKB
July 2022,spotify:playlist:5em5v3waOtcppTx9SL3LgC
August 2022,spotify:playlist:0OVa2e7ULtgKs9DoXxOQ7J
September 2022,spotify:playlist:2QniUwUPbKITnxYy95dVFd
October 2022,spotify:playlist:5GN8lkZxS1pMRpVojJ68kK
November 2022,spotify:playlist:3PwdCNNDAnDgJ9r7SFYbqe
December 2022,spotify:playlist:0c90QCfjrRdVWzcPktTu4u
January 2023,spotify:playlist:5Jd24YfnII30x54KY29z58
February 2023,spotify:playlist:4to8lGBbWw69HSRzTZrxr4
March 2023,spotify:playlist:5iNiaHzfB4l3g0tSuiBIe8
April 2023,spotify:playlist:74vObIZkJkrfkJh3XIXhyP
May 2023,spotify:playlist:6pVOFE2BtSZcCBF1uWzVwA
June 2023,spotify:playlist:6CrkoTIYSgphrdY2EDL7Dg